C:\Documents and Settings\Potenciostato SP150\Escritorio\Alfonso\DIV_1_01.mpr
Ewe/V vs. SCE	<I>/mA
5.0722e-3	-0.0461411
7.13027e-3	-0.0459302
9.10241e-3	-0.0456859
0.0110915	-0.0454631
0.0130647	-0.0452261
0.0150963	-0.0449657
0.0171172	-0.0447003
0.0190745	-0.0444411
0.02107	-0.0441701
0.0230644	-0.0438526
0.025114	-0.0435827
0.0270533	-0.0432524
0.0291028	-0.0429511
0.0310983	-0.0426078
0.033098	-0.0422796
0.0351137	-0.0419192
0.0370986	-0.0415666
0.0390527	-0.0411845
0.0410725	-0.0408189
0.0430723	-0.0404204
0.0450402	-0.0400035
0.0471057	-0.0396094
0.0490863	-0.0391599
0.0511072	-0.0387211
0.0531165	-0.0382562
0.055095	-0.0378061
0.0571085	-0.0373329
0.059139	-0.0368399
0.0610846	-0.03632
0.0631003	-0.035841
0.0650576	-0.0353124
0.0670838	-0.034752
0.0690814	-0.0342161
0.0710578	-0.0336474
0.0730554	-0.0330705
0.0751092	-0.0324753
0.0771429	-0.031884
0.0790843	-0.0312681
0.0811286	-0.0306526
0.0830667	-0.0299965
0.0851397	-0.0293699
0.0871012	-0.028695
0.0891306	-0.028019
0.0910614	-0.027345
0.0930983	-0.0266367
0.0950831	-0.0259503
0.0970723	-0.0252045
0.0990953	-0.0244735
0.101067	-0.0237205
0.103061	-0.0229773
0.105103	-0.0221854
0.107087	-0.0214278
0.109073	-0.0206202
0.11111	-0.0197985
